pdb_id,pdb_class
3dx2,nuclear receptor
3dxg,hydrolase
3e5a,kinase
3e92,kinase
3e93,kinase
3ebp,kinase
3ehy,protease
3ejr,nuclear receptor
3f3a,transport/binding
3f3c,transport/binding
3f3d,transport/binding
3f3e,transport/binding
3fcq,protease
3fur,nuclear receptor
3fv1,other
3fv2,other
3g0w,nuclear receptor
3g2n,transferase
3g2z,protease
3g31,protease
3gbb,other
3gc5,transferase
3ge7,transferase
3gnw,protease
3gr2,protease
3gv9,protease
3gy4,protease
3ivg,ligase
3jvr,kinase
3jvs,kinase
3jya,kinase
3k5v,kinase
3kgp,kinase
3kr8,nuclear receptor
3kwa,lyase
3l7b,transferase
3lka,protease
3mss,kinase
3myg,kinase
3n76,lyase
3n7a,lyase
3n86,lyase
3nq9,transport/binding
3nw9,kinase
3nx7,protease
3o9i,protease
3oe4,kinase
3oe5,kinase
3ozs,kinase
3ozt,kinase
3p5o,immune/signaling
3prs,protease
3pww,protease
3pxf,kinase
3pyy,kinase
3qgy,kinase
3qqs,kinase
3r88,kinase
3rlr,immune/signaling
3rr4,kinase
3rsx,protease
3ryj,lyase
3syr,kinase
3tsk,protease
3twp,kinase
3u5j,immune/signaling
3u8k,transport/binding
3u8n,transport/binding
3u9q,nuclear receptor
3udh,protease
3ueu,transport/binding
3uev,transport/binding
3uew,transport/binding
3uex,transport/binding
3ui7,protease
3uo4,kinase
3up2,kinase
3uri,protease
3utu,protease
3uuo,protease
3wtj,transport/binding
3wz8,protease
3zdg,transport/binding
3zso,transferase
3zsx,transferase
3zt2,transferase
4abg,hydrolase
4agn,other
4agp,other
4agq,other
4bkt,ligase
4cig,transferase
4ciw,lyase
4cr9,hydrolase
4cra,hydrolase
4crc,hydrolase
4ddh,hydrolase
4ddk,hydrolase
4de1,protease
4de2,protease
4de3,protease
4djv,protease
4dld,other
4dli,kinase
4e5w,kinase
4e6q,kinase
4ea2,kinase
4eky,transferase
4eo8,kinase
4eor,kinase
4f09,kinase
4f2w,protease
4f3c,protease
4f9w,kinase
4gfm,kinase
4gid,protease
4gkm,kinase
4gr0,protease
4hge,kinase
4ih5,kinase
4ih7,kinase
4ivb,kinase
4ivc,kinase
4ivd,kinase
4j21,transferase
4j28,protease
4j3l,transferase
4jfs,protease
4jia,kinase
4jsz,lyase
4jxs,protease
4k18,kinase
4k77,kinase
4kz6,protease
4kzq,kinase
4kzu,kinase
4llx,protease
4lzs,other
4m0y,kinase
4m0z,kinase
4mgd,other
4mme,transport/binding
4ogj,kinase
4owm,transferase
4pcs,hydrolase
4qac,transport/binding
4qd6,kinase
4rfm,kinase
4tmn,protease
4twp,kinase
4ty7,protease
4u4s,other
4w9c,ligase
4w9h,ligase
4w9i,ligase
4w9l,ligase
4wiv,other
4x6p,protease
5a7b,immune/signaling
5aba,immune/signaling
5c28,protease
5c2h,protease
5dwr,kinase
5tmn,protease
11gs,transferase
13gs,kinase
16pk,kinase
184l,hydrolase
185l,hydrolase
186l,hydrolase
187l,hydrolase
188l,hydrolase
1a07,transferase
1a08,transferase
1a09,transferase
1a0q,hydrolase
1a0t,other
1a1b,transferase
1a1c,transferase
1a1e,transferase
1a28,nuclear receptor
1a2c,protease
1a37,other
1a3e,protease
1a42,lyase
1a46,protease
1a4g,hydrolase
1a4h,immune/signaling
1a4k,other
1a4m,hydrolase
1a4q,hydrolase
1a4r,hydrolase
1a4w,protease
1a52,nuclear receptor
1a5g,protease
1a5h,protease
1a5v,hydrolase
1a61,protease
1a69,transferase
1a7c,protease
1a7t,hydrolase
1a85,protease
1a86,protease
1a8i,other
1a8t,hydrolase
1a94,protease
1a99,transport/binding
1a9m,protease
1a9q,transferase
1a9u,kinase
1aaq,protease
1abf,transport/binding
1abt,other
1acj,hydrolase
1ad8,protease
1add,hydrolase
1adl,transport/binding
1ado,lyase
1af2,hydrolase
1af6,other
1afk,hydrolase
1afl,hydrolase
1ag9,other
1agm,hydrolase
1agw,kinase
1aht,protease
1ahx,transferase
1ahy,transferase
1ai4,hydrolase
1ai5,hydrolase
1ai6,hydrolase
1ai7,hydrolase
1aid,protease
1aj6,isomerase
1aj7,other
1ajn,hydrolase
1ajp,hydrolase
1ajq,hydrolase
1ajv,protease
1ajx,protease
1akq,other
1akr,other
1akt,other
1aku,other
1akv,other
1akw,other
1al7,oxidoreductase
1al8,oxidoreductase
1alw,protease
1amk,isomerase
1amn,hydrolase
1amw,immune/signaling
1anf,transport/binding
1ao0,transferase
1ao8,oxidoreductase
1apb,transport/binding
1apv,protease
1apw,protease
1aq1,kinase
1aq7,protease
1aqc,other
1aqi,transferase
1aqj,transferase
1at5,hydrolase
1at6,hydrolase
1atl,protease
1atr,immune/signaling
1au0,protease
1au2,protease
1auj,protease
1avd,transport/binding
1avn,lyase
1avp,protease
1aw1,isomerase
1awf,protease
1awh,protease
1awi,transport/binding
1ax0,other
1ax1,other
1ax2,other
1axr,transferase
1axs,other
1axz,other
1ayu,protease
1ayv,protease
1aze,other
1azg,kinase
1azl,other
1azm,lyase
1azx,protease
1b05,transport/binding
1b0f,protease
1b0h,transport/binding
1b11,protease
1b1h,transport/binding
1b2h,transport/binding
1b2i,protease
1b2m,hydrolase
1b32,transport/binding
1b38,kinase
1b39,kinase
1b3f,transport/binding
1b3g,transport/binding
1b3h,transport/binding
1b3l,transport/binding
1b40,transport/binding
1b42,transferase
1b46,transport/binding
1b4d,transferase
1b4h,transport/binding
1b4z,transport/binding
1b51,transport/binding
1b52,transport/binding
1b55,kinase
1b56,transport/binding
1b57,lyase
1b58,transport/binding
1b5g,protease
1b5h,transport/binding
1b5i,transport/binding
1b5j,transport/binding
1b6h,transport/binding
1b6j,protease
1b6k,protease
1b6l,protease
1b6m,protease
1b6p,protease
1b74,isomerase
1b7h,transport/binding
1b8n,transferase
1b8o,transferase
1b8y,protease
1b9j,transport/binding
1b9s,hydrolase
1b9t,hydrolase
1b9v,hydrolase
1ba8,protease
1bai,protease
1bap,transport/binding
1bb0,protease
1bbz,transferase
1bcd,lyase
1bcj,transport/binding
1bdl,protease
1bdq,protease
1bdr,protease
1bgo,protease
1bgq,immune/signaling
1bhf,kinase
1bhx,protease
1bil,protease
1bim,protease
1bio,protease
1biw,protease
1bji,hydrolase
1bjr,protease
1bju,protease
1bjv,protease
1bkj,oxidoreductase
1bkm,other
1bky,transferase
1bl4,isomerase
1bl6,kinase
1bl7,kinase
1bm2,other
1bm6,protease
1bm7,transport/binding
1bma,protease
1bmb,other
1bmk,kinase
1bmm,protease
1bmn,protease
1bmq,hydrolase
1bn1,lyase
1bn3,lyase
1bn4,lyase
1bnm,lyase
1bnn,lyase
1bnq,lyase
1bnt,lyase
1bnu,lyase
1bnv,lyase
1bnw,lyase
1bo5,kinase
1bp0,transferase
1bq3,transferase
1bq4,transferase
1bqm,transferase
1bqn,transferase
1bqo,protease
1br5,hydrolase
1br6,hydrolase
1br8,other
1bra,protease
1bsk,protease
1bt6,transport/binding
1btn,other
1bty,protease
1bug,oxidoreductase
1bux,kinase
1bv7,protease
1bv9,protease
1bwa,protease
1bwb,protease
1bwn,kinase
1bxl,other
1bxo,protease
1bxq,protease
1bxr,transferase
1bzf,oxidoreductase
1bzh,protease
1bzj,hydrolase
1bzs,protease
1c12,immune/signaling
1c1r,protease
1c1u,protease
1c1v,protease
1c29,transferase
1c2t,transferase
1c3b,hydrolase
1c3e,transferase
1c3i,hydrolase
1c3r,lyase
1c3x,transferase
1c4u,protease
1c4v,protease
1c4y,protease
1c50,transferase
1c5c,lyase
1c5f,isomerase
1c5n,kinase
1c5o,kinase
1c5p,kinase
1c5q,kinase
1c5s,kinase
1c5t,kinase
1c5x,kinase
1c5y,kinase
1c6y,protease
1c70,protease
1c7e,other
1c7f,other
1c83,hydrolase
1c84,hydrolase
1c85,hydrolase
1c86,hydrolase
1c87,hydrolase
1c88,hydrolase
1c8k,transferase
1c8l,transferase
1c8v,transferase
1c9d,transferase
1ca8,protease
1caq,protease
1cbr,nuclear receptor
1cbx,protease
1ce5,protease
1cea,protease
1ceb,protease
1cet,oxidoreductase
1cgl,protease
1ch8,ligase
1ci7,transferase
1cil,lyase
1cim,lyase
1cin,lyase
1ciz,protease
1cj1,transport/binding
1cka,other
1ckb,other
1clu,hydrolase
1cnw,lyase
1cnx,lyase
1cny,lyase
1cp6,protease
1cpi,protease
1cps,protease
1cqp,immune/signaling
1cr6,hydrolase
1cs4,hydrolase
1csh,transferase
1csi,transferase
1csr,transferase
1css,transferase
1ct8,immune/signaling
1ctr,transport/binding
1ctt,hydrolase
1ctu,hydrolase
1cw2,transferase
1cwb,isomerase
1cwc,isomerase
1cx9,transferase
1cyn,isomerase
1czc,transferase
1cze,transferase
1czk,other
1czl,other
1czo,other
1czq,immune/signaling
1czr,other
1d04,other
1d09,transferase
1d1p,hydrolase
1d2e,transport/binding
1d2s,transport/binding
1d3d,protease
1d3p,protease
1d3q,protease
1d3v,hydrolase
1d4h,protease
1d4i,protease
1d4j,protease
1d4k,protease
1d4l,protease
1d4p,protease
1d4t,kinase
1d4w,immune/signaling
1d4y,protease
1d5j,protease
1d5r,hydrolase
1d6n,transferase
1d6s,lyase
1d6v,immune/signaling
1d6w,protease
1d7i,isomerase
1d7j,isomerase
1d7x,protease
1d8e,transferase
1d8f,protease
1d8m,protease
1d9i,protease
1dar,other
1db1,nuclear receptor
1db4,protease
1db5,protease
1dbb,other
1dbj,other
1dbk,other
1ddm,transferase
1det,hydrolase
1df8,transport/binding
1dfo,transferase
1dg9,hydrolase
1dgm,kinase
1dhi,oxidoreductase
1dhj,oxidoreductase
1di8,kinase
1di9,kinase
1dif,protease
1dis,oxidoreductase
1dkd,immune/signaling
1dl7,immune/signaling
1dm2,kinase
1dmb,transport/binding
1dmp,protease
1doj,protease
1dpu,transport/binding
1dqx,lyase
1drj,transport/binding
1drk,transport/binding
1drv,oxidoreductase
1dth,protease
1dtq,transferase
1dtt,transferase
1dub,lyase
1dud,hydrolase
1duv,transferase
1dva,protease
1dwc,protease
1dwd,protease
1dx6,hydrolase
1dxp,protease
1dy4,hydrolase
1dzj,transport/binding
1dzk,transport/binding
1dzm,transport/binding
1dzp,transport/binding
1e00,transport/binding
1e02,transport/binding
1e03,other
1e06,transport/binding
1e1v,kinase
1e1x,kinase
1e1y,transferase
1e2k,kinase
1e2l,kinase
1e34,protease
1e37,protease
1e3g,nuclear receptor
1e3v,isomerase
1e4h,transport/binding
1e55,hydrolase
1e5a,transport/binding
1e5j,hydrolase
1e6q,hydrolase
1e6s,hydrolase
1e72,hydrolase
1e8h,oxidoreductase
1e9h,kinase
1eas,protease
1eat,protease
1eb1,protease
1eb2,protease
1ebg,lyase
1ebw,protease
1ebz,protease
1ec0,protease
1ec1,protease
1ec2,protease
1ec3,protease
1ec9,lyase
1ecq,lyase
1ecv,hydrolase
1eed,protease
1eef,other
1eei,other
1efi,other
1efy,transferase
1egh,transferase
1eix,lyase
1ej4,other
1ejn,kinase
1ek1,hydrolase
1ek2,hydrolase
1ekb,protease
1ela,protease
1elb,protease
1elc,protease
1eld,protease
1ele,protease
1elr,immune/signaling
1els,lyase
1em6,transferase
1enu,transferase
1eoc,oxidoreductase
1eoj,protease
1eol,protease
1eou,hydrolase
1epo,protease
1epp,protease
1erb,transport/binding
1ero,hydrolase
1erq,hydrolase
1err,nuclear receptor
1esz,transport/binding
1ets,protease
1ett,protease
1etz,immune/signaling
1eub,protease
1eve,hydrolase
1evh,other
1ew8,hydrolase
1ew9,hydrolase
1ewj,transport/binding
1ex8,kinase
1exv,transferase
1exw,hydrolase
1ez9,transport/binding
1ezf,transferase
1ezq,hydrolase
1f0q,kinase
1f0r,hydrolase
1f0s,hydrolase
1f0t,hydrolase
1f0u,hydrolase
1f1j,protease
1f28,transferase
1f2o,protease
1f2p,protease
1f3e,transferase
1f3j,immune/signaling
1f40,isomerase
1f47,other
1f4e,transferase
1f4f,transferase
1f4g,transferase
1f4x,immune/signaling
1f4y,immune/signaling
1f57,protease
1f5k,kinase
1f5l,kinase
1f73,lyase
1f74,lyase
1f7b,lyase
1f8a,isomerase
1f8e,protease
1f90,immune/signaling
1f92,kinase
1f9e,protease
1f9g,lyase
1fao,immune/signaling
1fax,protease
1fbm,other
1fch,immune/signaling
1fcx,nuclear receptor
1fcy,nuclear receptor
1fcz,nuclear receptor
1fd0,nuclear receptor
1fd7,other
1fdq,transport/binding
1fe3,transport/binding
1ff1,immune/signaling
1fgi,kinase
1fh7,hydrolase
1fh8,hydrolase
1fh9,hydrolase
1fhd,hydrolase
1fhr,transferase
1fig,other
1fiv,protease
1fj4,transferase
1fjs,protease
1fkb,isomerase
1fkf,isomerase
1fkg,isomerase
1fkh,isomerase
1fki,isomerase
1fkn,protease
1fkw,hydrolase
1fl3,immune/signaling
1fl6,oxidoreductase
1flm,transport/binding
1flr,other
1fls,protease
1fm9,nuclear receptor
1fmb,protease
1fo0,immune/signaling
1fo2,hydrolase
1fo3,hydrolase
1fpc,protease
1fpi,hydrolase
1fpp,transferase
1fpy,ligase
1fq4,protease
1fq5,protease
1fq6,protease
1fq7,protease
1fq8,protease
1fsg,transferase
1fsw,hydrolase
1fsy,hydrolase
1ft4,transport/binding
1ft7,protease
1fta,hydrolase
1ftj,other
1ftk,other
1ftl,other
1ftm,other
1fv0,hydrolase
1fv9,kinase
1fvt,kinase
1fvv,kinase
1fw0,other
1fwe,hydrolase
1fwu,transport/binding
1fwv,transport/binding
1fyr,other
1fzj,immune/signaling
1fzk,immune/signaling
1fzm,immune/signaling
1fzo,immune/signaling
1fzq,immune/signaling
1g05,protease
1g1d,lyase
1g1e,other
1g27,hydrolase
1g2a,hydrolase
1g2l,protease
1g2m,protease
1g2o,transferase
1g30,protease
1g32,protease
1g35,protease
1g36,protease
1g37,protease
1g3b,hydrolase
1g3c,hydrolase
1g3d,hydrolase
1g3e,hydrolase
1g3f,other
1g3m,transferase
1g45,lyase
1g46,lyase
1g48,lyase
1g49,protease
1g4j,lyase
1g4k,protease
1g4o,lyase
1g50,transport/binding
1g52,lyase
1g53,lyase
1g54,lyase
1g5f,hydrolase
1g5s,kinase
1g6g,other
1g6r,immune/signaling
1g6s,transferase
1g74,transport/binding
1g7f,hydrolase
1g7g,hydrolase
1g7p,immune/signaling
1g7q,immune/signaling
1g7v,transferase
1g85,transport/binding
1g98,isomerase
1g9a,hydrolase
1g9b,hydrolase
1g9c,hydrolase
1g9d,hydrolase
1g9r,transferase
1g9s,transferase
1g9t,transferase
1ga8,transferase
1ga9,hydrolase
1gaf,other
1gag,kinase
1gah,hydrolase
1gai,hydrolase
1gar,transferase
1gbq,other
1gbt,protease
1gca,transport/binding
1gcz,immune/signaling
1gfw,hydrolase
1gfy,hydrolase
1gfz,transferase
1ggd,protease
1ggn,transferase
1ghv,kinase
1ghw,kinase
1ghy,kinase
1ghz,kinase
1gi1,kinase
1gi4,kinase
1gi6,kinase
1gi7,kinase
1gi8,kinase
1gi9,kinase
1gj4,kinase
1gj5,kinase
1gj6,protease
1gj7,protease
1gj8,protease
1gja,protease
1gjb,protease
1gjc,protease
1gjd,protease
1gmy,protease
1gni,transport/binding
1gnj,transport/binding
1gnm,protease
1gnn,protease
1gno,protease
1gny,other
1gpy,other
1gqs,hydrolase
1grp,oxidoreductase
1gsf,transferase
1gsz,isomerase
1gt1,transport/binding
1gt3,transport/binding
1gt4,transport/binding
1gt5,transport/binding
1gu1,lyase
1gu3,other
1gui,other
1guw,other
1gux,other
1gvk,protease
1gvu,protease
1gvx,protease
1gwm,other
1gwq,nuclear receptor
1gwr,nuclear receptor
1gwv,transferase
1gww,transferase
1gx0,transferase
1gx4,transferase
1gx8,other
1gym,hydrolase
1gyx,isomerase
1gyy,isomerase
1gz3,oxidoreductase
1gz4,oxidoreductase
1gz9,transport/binding
1gzc,transport/binding
1gzg,transferase
1gzv,isomerase
1h00,kinase
1h01,kinase
1h08,kinase
1h0a,other
1h0r,lyase
1h0w,kinase
1h1b,protease
1h1d,transferase
1h1h,hydrolase
1h1p,kinase
1h1q,kinase
1h1r,kinase
1h1s,kinase
1h24,kinase
1h25,kinase
1h26,kinase
1h27,kinase
1h28,kinase
1h2k,other
1h2t,other
1h2u,other
1h35,isomerase
1h36,isomerase
1h37,isomerase
1h39,isomerase
1h3a,isomerase
1h3b,isomerase
1h3c,isomerase
1h3h,transport/binding
1h46,hydrolase
1h4n,lyase
1h4w,protease
1h5u,transferase
1h5v,hydrolase
1h60,oxidoreductase
1h61,oxidoreductase
1h62,oxidoreductase
1h6e,other
1h6h,other
1h79,oxidoreductase
1h7a,oxidoreductase
1h8l,protease
1h8s,other
1h8y,hydrolase
1h9l,protease
1h9z,transport/binding
1ha2,transport/binding
1haa,other
1hbj,hydrolase
1hbv,protease
1hc9,other
1hdq,protease
1hdt,protease
1hee,protease
1hef,protease
1heg,protease
1hge,immune/signaling
1hgi,immune/signaling
1hgj,immune/signaling
1hgt,protease
1hi3,hydrolase
1hi4,hydrolase
1hi5,hydrolase
1hih,protease
1hii,protease
1him,other
1hiv,protease
1hiy,kinase
1hk1,transport/binding
1hk2,transport/binding
1hk3,transport/binding
1hk4,transport/binding
1hk5,transport/binding
1hkj,hydrolase
1hkk,hydrolase
1hkm,hydrolase
1hlf,transferase
1hlk,hydrolase
1hmr,transport/binding
1hms,transport/binding
1hmt,transport/binding
1hn2,transport/binding
1hn4,hydrolase
1hos,protease
1hp0,hydrolase
1hp5,hydrolase
1hpo,protease
1hps,protease
1hpv,protease
1hpx,protease
1hq5,hydrolase
1hqf,hydrolase
1hqg,hydrolase
1hqh,hydrolase
1hrn,protease
1hs6,hydrolase
1hsg,protease
1hsh,protease
1hsl,transport/binding
1hte,protease
1htf,protease
1htg,protease
1hti,oxidoreductase
1hty,hydrolase
1hvh,protease
1hvi,protease
1hvj,protease
1hvk,protease
1hvl,protease
1hvr,protease
1hvs,protease
1hvy,transferase
1hwr,protease
1hww,hydrolase
1hxb,protease
1hxk,hydrolase
1hxw,protease
1hy7,protease
1hyo,hydrolase
1hyv,transferase
1hyz,transferase
1i00,transferase
1i1e,protease
1i2s,hydrolase
1i32,oxidoreductase
1i33,oxidoreductase
1i37,nuclear receptor
1i3z,immune/signaling
1i41,transferase
1i43,transferase
1i48,transferase
1i5d,transferase
1i5h,ligase
1i5r,oxidoreductase
1i6v,transferase
1i72,lyase
1i7c,lyase
1i7g,nuclear receptor
1i7i,nuclear receptor
1i7m,lyase
1i7z,immune/signaling
1i80,transferase
1i8h,isomerase
1i8i,immune/signaling
1i8j,transferase
1i8z,lyase
1i90,lyase
1i91,lyase
1i9l,lyase
1i9m,lyase
1i9n,lyase
1i9o,lyase
1i9p,lyase
1i9q,lyase
1iau,protease
1ibc,protease
1ibg,immune/signaling
1icj,protease
1ida,protease
1idb,protease
1idg,other
1ie9,nuclear receptor
1iem,hydrolase
1iep,kinase
1iew,hydrolase
1if7,lyase
1if8,lyase
1igb,protease
1ih0,transport/binding
1iht,protease
1ihy,oxidoreductase
1ii5,other
1iig,isomerase
1iih,isomerase
1iiq,protease
1ijr,kinase
1ik4,transferase
1ikt,oxidoreductase
1ikv,transferase
1ikw,transferase
1ikx,transferase
1iky,transferase
1il3,hydrolase
1il4,hydrolase
1il5,hydrolase
1il9,hydrolase
1ilh,nuclear receptor
1ilq,immune/signaling
1imx,other
1inc,protease
1ind,other
1inf,hydrolase
1ing,hydrolase
1inh,hydrolase
1inq,immune/signaling
1iq1,other
1irs,other
1is0,kinase
1it6,hydrolase
1iup,hydrolase
1ivp,protease
1iwq,transport/binding
1iy7,hydrolase
1iyl,transferase
1izh,protease
1izi,protease
1j01,hydrolase
1j07,hydrolase
1j14,protease
1j15,protease
1j16,protease
1j17,protease
1j19,other
1j1a,hydrolase
1j36,protease
1j37,hydrolase
1j4k,transferase
1j4p,transferase
1j4q,transferase
1j4r,isomerase
1j5i,other
1j7z,hydrolase
1j80,hydrolase
1j81,hydrolase
1jak,hydrolase
1jao,protease
1jaq,protease
1jbd,other
1jcx,transferase
1jd0,lyase
1jd5,hydrolase
1jd6,hydrolase
1jdj,oxidoreductase
1jet,transport/binding
1jeu,transport/binding
1jev,transport/binding
1jfh,hydrolase
1jg0,transferase
1jgl,immune/signaling
1jh1,hydrolase
1jif,transport/binding
1jii,ligase
1jij,ligase
1jik,ligase
1jil,ligase
1jiz,protease
1jj9,hydrolase
1jje,hydrolase
1jjk,lyase
1jjt,hydrolase
1jk7,hydrolase
1jld,protease
1jlq,transferase
1jlr,transferase
1jlx,other
1jm4,transferase
1jmf,transferase
1jmg,transferase
1jmi,transferase
1jmq,immune/signaling
1jn2,transport/binding
1jn4,hydrolase
1joc,other
1joj,transport/binding
1jp5,protease
1jpl,immune/signaling
1jq3,transferase
1jq8,protease
1jq9,protease
1jqd,transferase
1jqe,transferase
1jqy,other
1jr1,oxidoreductase
1jrs,protease
1jsv,kinase
1jt1,other
1jtq,transferase
1juf,immune/signaling
1juj,transferase
1juq,immune/signaling
1jut,transferase
1juy,ligase
1jvp,kinase
1jvu,hydrolase
1jwm,immune/signaling
1jws,immune/signaling
1jwt,hydrolase
1jwu,immune/signaling
1jyc,transport/binding
1jyi,transport/binding
1jys,hydrolase
1jzs,ligase
1k03,oxidoreductase
1k06,transferase
1k08,transferase
1k1j,protease
1k1l,protease
1k1m,protease
1k1n,protease
1k1o,protease
1k1p,protease
1k1y,transferase
1k21,protease
1k22,protease
1k27,transferase
1k2i,hydrolase
1k2v,other
1k3n,transferase
1k3q,transferase
1k3t,oxidoreductase
1k4g,transferase
1k4h,transferase
1k6c,protease
1k6p,protease
1k6t,protease
1k6v,protease
1k9q,immune/signaling
1k9r,immune/signaling
1k9s,transferase
1ka7,immune/signaling
1kak,hydrolase
1kat,other
1kav,hydrolase
1kc5,immune/signaling
1kc7,kinase
1kcs,immune/signaling
1kdk,transport/binding
1kds,hydrolase
1kdw,hydrolase
1ke0,hydrolase
1ke3,hydrolase
1ke5,kinase
1ke6,kinase
1ke7,kinase
1ke8,kinase
1ke9,kinase
1kf0,kinase
1kf6,oxidoreductase
1kfy,oxidoreductase
1kjr,transport/binding
1kkq,nuclear receptor
1kl3,transport/binding
1kl5,transport/binding
1klg,immune/signaling
1kll,other
1klu,immune/signaling
1km3,lyase
1kmv,oxidoreductase
1kmy,oxidoreductase
1kna,immune/signaling
1kne,immune/signaling
1koj,isomerase
1kpm,hydrolase
1kqb,oxidoreductase
1kr3,hydrolase
1ksn,hydrolase
1kti,transferase
1ktt,protease
1kug,protease
1kui,protease
1kuk,protease
1kv1,kinase
1kv2,kinase
1kv5,isomerase
1kvo,hydrolase
1kwq,lyase
1kwr,lyase
1kyn,protease
1kyv,transferase
1kz8,hydrolase
1kzk,protease
1kzn,isomerase
1l0a,immune/signaling
1l2s,hydrolase
1l2z,immune/signaling
1l5q,transferase
1l5r,transferase
1l5s,transferase
1l6m,transport/binding
1l6s,transferase
1l6y,transferase
1l7x,transferase
1l83,hydrolase
1l8g,hydrolase
1laf,transport/binding
1lag,transport/binding
1lah,transport/binding
1lan,protease
1lb6,immune/signaling
1lbf,lyase
1lcj,kinase
1lcp,protease
1ld7,transferase
1ld8,transferase
1lee,protease
1leg,immune/signaling
1lek,immune/signaling
1lev,hydrolase
1lf2,protease
1lf3,protease
1lf9,hydrolase
1lfo,transport/binding
1lgt,oxidoreductase
1lgw,hydrolase
1lhc,protease
1lhd,protease
1lhe,protease
1lhf,protease
1lhg,protease
1lhu,transport/binding
1lhv,transport/binding
1lhw,transport/binding
1li2,hydrolase
1li3,hydrolase
1li6,hydrolase
1ljt,immune/signaling
1lke,transport/binding
1lkk,kinase
1lkl,kinase
1lkx,other
1ll4,hydrolase
1llb,hydrolase
1lnm,transport/binding
1los,lyase
1lox,oxidoreductase
1lpk,protease
1lpz,protease
1lq2,hydrolase
1lqd,protease
1lqe,protease
1lqf,hydrolase
1lrh,transport/binding
1lrt,oxidoreductase
1lst,transport/binding
1lt5,other
1lt6,other
1lv8,transferase
1lvc,lyase
1lvu,transferase
1lxf,transport/binding
1lxh,other
1lyb,protease
1lyx,isomerase
1lzo,isomerase
1lzq,protease
1m0b,protease
1m0n,lyase
1m0o,lyase
1m0q,lyase
1m13,nuclear receptor
1m1b,isomerase
1m21,protease
1m2p,kinase
1m2q,kinase
1m2r,kinase
1m2x,hydrolase
1m48,immune/signaling
1m4h,protease
1m51,lyase
1m5b,other
1m5c,other
1m5d,other
1m5e,other
1m5f,other
1m5w,transferase
1m6p,other
1m74,transport/binding
1m7d,immune/signaling
1m7i,immune/signaling
1m7q,kinase
1m7y,transferase
1m83,ligase
1m9n,transferase
1mai,hydrolase
1mau,ligase
1maw,ligase
1mcz,lyase
1mdl,isomerase
1me3,protease
1me4,protease
1me7,oxidoreductase
1me8,oxidoreductase
1mem,protease
1mes,protease
1met,protease
1meu,protease
1mf4,protease
1mfa,other
1mfd,other
1mfg,immune/signaling
1mfi,immune/signaling
1mh5,immune/signaling
1mhw,protease
1mik,isomerase
1mj7,immune/signaling
1mjj,immune/signaling
1mkd,hydrolase
1ml1,oxidoreductase
1mm6,other
1mm7,other
1mmp,protease
1mmq,protease
1mmr,protease
1mn9,kinase
1mnc,protease
1mns,other
1moq,transferase
1mpa,other
1mpl,protease
1mq1,transport/binding
1mq5,protease
1mqd,other
1mqg,other
1mqh,other
1mqi,other
1mqj,other
1mrn,kinase
1mrs,kinase
1mrw,protease
1mrx,protease
1ms0,hydrolase
