pdb_id,deposit_date
1a9m,1998-04-08T00:00:00.000+00:00
1a9q,1998-04-10T00:00:00.000+00:00
1a9u,1998-04-10T00:00:00.000+00:00
1aaq,1992-04-13T00:00:00.000+00:00
1abf,1992-04-23T00:00:00.000+00:00
1abt,1993-11-17T00:00:00.000+00:00
1acj,1993-08-18T00:00:00.000+00:00
1ad8,1997-02-24T00:00:00.000+00:00
1add,1992-12-22T00:00:00.000+00:00
1adl,1994-03-25T00:00:00.000+00:00
1ado,1996-12-02T00:00:00.000+00:00
1af2,1997-03-20T00:00:00.000+00:00
1af6,1997-03-21T00:00:00.000+00:00
1afk,1997-03-08T00:00:00.000+00:00
1afl,1997-03-08T00:00:00.000+00:00
1ag9,1997-04-04T00:00:00.000+00:00
1agm,1994-05-13T00:00:00.000+00:00
1agw,1997-03-25T00:00:00.000+00:00
1aht,1995-03-17T00:00:00.000+00:00
1ahx,1995-02-21T00:00:00.000+00:00
1ahy,1995-02-21T00:00:00.000+00:00
1ai4,1997-05-01T00:00:00.000+00:00
1ai5,1997-05-01T00:00:00.000+00:00
1ai6,1997-05-01T00:00:00.000+00:00
1ai7,1997-05-01T00:00:00.000+00:00
1aid,1997-04-16T00:00:00.000+00:00
1aj6,1997-05-15T00:00:00.000+00:00
1aj7,1997-05-15T00:00:00.000+00:00
1ajn,1997-05-07T00:00:00.000+00:00
1ajp,1997-05-07T00:00:00.000+00:00
1ajq,1997-05-07T00:00:00.000+00:00
1ajv,1997-05-11T00:00:00.000+00:00
1ajx,1997-05-11T00:00:00.000+00:00
1akq,1997-03-27T00:00:00.000+00:00
1akr,1997-05-27T00:00:00.000+00:00
1akt,1997-05-27T00:00:00.000+00:00
1aku,1997-05-27T00:00:00.000+00:00
1akv,1997-05-27T00:00:00.000+00:00
1akw,1997-05-27T00:00:00.000+00:00
1al7,1997-06-12T00:00:00.000+00:00
1al8,1997-06-12T00:00:00.000+00:00
1alw,1997-06-04T00:00:00.000+00:00
1amk,1997-06-17T00:00:00.000+00:00
1amn,1996-02-13T00:00:00.000+00:00
1amw,1997-06-19T00:00:00.000+00:00
1anf,1997-06-25T00:00:00.000+00:00
1ao0,1997-07-15T00:00:00.000+00:00
1ao8,1997-07-22T00:00:00.000+00:00
1apb,1991-11-15T00:00:00.000+00:00
1apv,1991-12-16T00:00:00.000+00:00
1apw,1991-12-16T00:00:00.000+00:00
1aq1,1997-08-05T00:00:00.000+00:00
1aq7,1997-08-07T00:00:00.000+00:00
1aqc,1997-07-28T00:00:00.000+00:00
1aqi,1996-07-25T00:00:00.000+00:00
1aqj,1996-07-25T00:00:00.000+00:00
1at5,1997-08-18T00:00:00.000+00:00
1at6,1997-08-19T00:00:00.000+00:00
1atl,1995-05-26T00:00:00.000+00:00
1atr,1993-08-09T00:00:00.000+00:00
1au0,1997-09-09T00:00:00.000+00:00
1au2,1997-09-10T00:00:00.000+00:00
1auj,1997-08-28T00:00:00.000+00:00
1avd,1993-03-05T00:00:00.000+00:00
1avn,1997-09-17T00:00:00.000+00:00
1avp,1996-04-04T00:00:00.000+00:00
1aw1,1997-10-09T00:00:00.000+00:00
1awf,1997-10-02T00:00:00.000+00:00
1awh,1997-10-02T00:00:00.000+00:00
1awi,1997-10-02T00:00:00.000+00:00
1ax0,1997-10-24T00:00:00.000+00:00
1ax1,1997-10-24T00:00:00.000+00:00
1ax2,1997-10-24T00:00:00.000+00:00
1axr,1997-10-20T00:00:00.000+00:00
1axs,1997-10-20T00:00:00.000+00:00
1axz,1997-10-24T00:00:00.000+00:00
1ayu,1997-11-10T00:00:00.000+00:00
1ayv,1997-11-10T00:00:00.000+00:00
1aze,1997-11-17T00:00:00.000+00:00
1azg,1997-11-18T00:00:00.000+00:00
1azl,1997-11-18T00:00:00.000+00:00
1azm,1993-11-28T00:00:00.000+00:00
1azx,1997-11-23T00:00:00.000+00:00
1b05,1998-11-20T00:00:00.000+00:00
1b0f,1998-11-09T00:00:00.000+00:00
1b0h,1998-11-10T00:00:00.000+00:00
1b11,1998-11-25T00:00:00.000+00:00
1b1h,1998-11-10T00:00:00.000+00:00
1b2h,1998-11-16T00:00:00.000+00:00
1b2i,1999-09-24T00:00:00.000+00:00
1b2m,1998-11-27T00:00:00.000+00:00
1b32,1998-12-15T00:00:00.000+00:00
1b38,1998-12-17T00:00:00.000+00:00
1b39,1998-12-17T00:00:00.000+00:00
1b3f,1998-12-14T00:00:00.000+00:00
1b3g,1998-12-14T00:00:00.000+00:00
1b3h,1998-11-16T00:00:00.000+00:00
1b3l,1998-12-14T00:00:00.000+00:00
1b40,1998-11-23T00:00:00.000+00:00
1b42,1999-01-05T00:00:00.000+00:00
1b46,1999-01-05T00:00:00.000+00:00
1b4d,1998-12-18T00:00:00.000+00:00
1b4h,1998-11-11T00:00:00.000+00:00
1b4z,1999-01-04T00:00:00.000+00:00
1b51,1999-01-11T00:00:00.000+00:00
1b52,1999-01-11T00:00:00.000+00:00
1b55,1999-01-12T00:00:00.000+00:00
1b56,1999-01-12T00:00:00.000+00:00
1b57,1999-01-12T00:00:00.000+00:00
1b58,1999-01-12T00:00:00.000+00:00
1b5g,1998-03-05T00:00:00.000+00:00
1b5h,1998-11-13T00:00:00.000+00:00
1b5i,1999-01-06T00:00:00.000+00:00
1b5j,1999-01-06T00:00:00.000+00:00
1b6h,1998-11-13T00:00:00.000+00:00
1b6j,1999-01-17T00:00:00.000+00:00
1b6k,1999-01-17T00:00:00.000+00:00
1b6l,1999-01-17T00:00:00.000+00:00
1b6m,1999-01-17T00:00:00.000+00:00
1b6p,1999-01-17T00:00:00.000+00:00
1b74,1999-01-27T00:00:00.000+00:00
1b7h,1998-11-16T00:00:00.000+00:00
1b8n,1999-02-02T00:00:00.000+00:00
1b8o,1999-02-02T00:00:00.000+00:00
1b8y,1999-02-03T00:00:00.000+00:00
1b9j,1999-02-11T00:00:00.000+00:00
1b9s,1999-02-15T00:00:00.000+00:00
1b9t,1999-02-15T00:00:00.000+00:00
1b9v,1999-02-15T00:00:00.000+00:00
1ba8,1998-04-23T00:00:00.000+00:00
1bai,1998-04-17T00:00:00.000+00:00
1bap,1991-11-15T00:00:00.000+00:00
1bb0,1998-04-28T00:00:00.000+00:00
1bbz,1998-04-28T00:00:00.000+00:00
1bcd,1993-08-31T00:00:00.000+00:00
1bcj,1998-04-30T00:00:00.000+00:00
1bdl,1998-05-10T00:00:00.000+00:00
1bdq,1998-05-10T00:00:00.000+00:00
1bdr,1998-05-10T00:00:00.000+00:00
1bgo,1998-05-29T00:00:00.000+00:00
1bgq,1998-05-29T00:00:00.000+00:00
1bhf,1998-06-08T00:00:00.000+00:00
1bhx,1998-06-10T00:00:00.000+00:00
1bil,1995-09-27T00:00:00.000+00:00
1bim,1995-09-27T00:00:00.000+00:00
1bio,1998-06-18T00:00:00.000+00:00
1biw,1998-06-19T00:00:00.000+00:00
1bji,1997-12-03T00:00:00.000+00:00
1bjr,1998-06-27T00:00:00.000+00:00
1bju,1998-06-29T00:00:00.000+00:00
1bjv,1998-06-29T00:00:00.000+00:00
1bkj,1998-07-08T00:00:00.000+00:00
1bkm,1997-05-02T00:00:00.000+00:00
1bky,1998-07-13T00:00:00.000+00:00
1bl4,1998-07-23T00:00:00.000+00:00
1bl6,1998-07-11T00:00:00.000+00:00
1bl7,1998-07-23T00:00:00.000+00:00
1bm2,1998-07-27T00:00:00.000+00:00
1bm6,1998-07-29T00:00:00.000+00:00
1bm7,1998-07-29T00:00:00.000+00:00
1bma,1995-05-01T00:00:00.000+00:00
1bmb,1998-07-23T00:00:00.000+00:00
1bmk,1998-07-23T00:00:00.000+00:00
1bmm,1995-11-14T00:00:00.000+00:00
1bmn,1995-11-14T00:00:00.000+00:00
1bmq,1998-07-24T00:00:00.000+00:00
1bn1,1998-07-31T00:00:00.000+00:00
1bn3,1998-07-31T00:00:00.000+00:00
1bn4,1998-07-31T00:00:00.000+00:00
1bnm,1998-07-30T00:00:00.000+00:00
1bnn,1998-07-30T00:00:00.000+00:00
1bnq,1998-07-30T00:00:00.000+00:00
1bnt,1998-07-30T00:00:00.000+00:00
1bnu,1998-07-30T00:00:00.000+00:00
1bnv,1998-07-30T00:00:00.000+00:00
1bnw,1998-07-30T00:00:00.000+00:00
1bo5,1998-08-10T00:00:00.000+00:00
1bp0,1998-08-11T00:00:00.000+00:00
1bq3,1998-08-20T00:00:00.000+00:00
1bq4,1998-08-20T00:00:00.000+00:00
1bqm,1998-08-17T00:00:00.000+00:00
1bqn,1998-08-17T00:00:00.000+00:00
1bqo,1998-08-17T00:00:00.000+00:00
1br5,1998-08-26T00:00:00.000+00:00
1br6,1998-08-27T00:00:00.000+00:00
1br8,1998-08-26T00:00:00.000+00:00
1bra,1992-12-17T00:00:00.000+00:00
1bsk,1998-08-28T00:00:00.000+00:00
1bt6,1998-09-02T00:00:00.000+00:00
1btn,1995-08-23T00:00:00.000+00:00
1bty,1995-05-17T00:00:00.000+00:00
1bug,1998-09-03T00:00:00.000+00:00
1bux,1998-09-07T00:00:00.000+00:00
1bv7,1998-09-22T00:00:00.000+00:00
1bv9,1998-09-22T00:00:00.000+00:00
1bwa,1998-09-22T00:00:00.000+00:00
1bwb,1998-09-22T00:00:00.000+00:00
1bwn,1998-09-25T00:00:00.000+00:00
1bxl,1996-10-16T00:00:00.000+00:00
1bxo,1998-10-07T00:00:00.000+00:00
1bxq,1998-10-07T00:00:00.000+00:00
1bxr,1998-10-08T00:00:00.000+00:00
1bzf,1998-10-28T00:00:00.000+00:00
1bzh,1998-10-28T00:00:00.000+00:00
1bzj,1998-10-29T00:00:00.000+00:00
1bzs,1998-11-04T00:00:00.000+00:00
1c12,1999-07-20T00:00:00.000+00:00
1c1r,1999-07-21T00:00:00.000+00:00
1c1u,1999-07-21T00:00:00.000+00:00
1c1v,1999-07-21T00:00:00.000+00:00
1c29,1999-07-23T00:00:00.000+00:00
1c2t,1999-07-26T00:00:00.000+00:00
1c3b,1999-07-27T00:00:00.000+00:00
1c3e,1999-07-27T00:00:00.000+00:00
1c3i,1999-07-27T00:00:00.000+00:00
1c3r,1999-07-28T00:00:00.000+00:00
1c3x,1999-07-29T00:00:00.000+00:00
1c4u,1999-09-25T00:00:00.000+00:00
1c4v,1999-09-25T00:00:00.000+00:00
1c4y,1999-10-05T00:00:00.000+00:00
1c50,1999-12-15T00:00:00.000+00:00
1c5c,1999-11-09T00:00:00.000+00:00
1c5f,1999-11-22T00:00:00.000+00:00
1c5n,1999-12-22T00:00:00.000+00:00
1c5o,1999-12-22T00:00:00.000+00:00
1c5p,1999-12-22T00:00:00.000+00:00
1c5q,1999-12-22T00:00:00.000+00:00
1c5s,1999-12-22T00:00:00.000+00:00
1c5t,1999-12-22T00:00:00.000+00:00
1c5x,1999-12-22T00:00:00.000+00:00
1c5y,1999-12-22T00:00:00.000+00:00
1c6y,1999-12-28T00:00:00.000+00:00
1c70,1999-12-29T00:00:00.000+00:00
1c7e,2000-02-16T00:00:00.000+00:00
1c7f,2000-02-11T00:00:00.000+00:00
1c83,2000-04-14T00:00:00.000+00:00
1c84,2000-04-14T00:00:00.000+00:00
1c85,2000-04-16T00:00:00.000+00:00
1c86,2000-04-16T00:00:00.000+00:00
1c87,2000-04-16T00:00:00.000+00:00
1c88,2000-04-16T00:00:00.000+00:00
1c8k,2000-05-11T00:00:00.000+00:00
1c8l,2000-05-16T00:00:00.000+00:00
1c8v,1999-07-30T00:00:00.000+00:00
1c9d,1999-08-02T00:00:00.000+00:00
1ca8,1998-04-27T00:00:00.000+00:00
1caq,1999-02-23T00:00:00.000+00:00
1cbr,1994-09-28T00:00:00.000+00:00
1cbx,1991-10-31T00:00:00.000+00:00
1ce5,1999-03-16T00:00:00.000+00:00
1cea,1995-12-03T00:00:00.000+00:00
1ceb,1995-12-03T00:00:00.000+00:00
1cet,1999-03-10T00:00:00.000+00:00
1cgl,1993-11-17T00:00:00.000+00:00
1ch8,1999-03-31T00:00:00.000+00:00
1ci7,1999-04-08T00:00:00.000+00:00
1cil,1993-10-20T00:00:00.000+00:00
1cim,1993-10-20T00:00:00.000+00:00
1cin,1993-10-20T00:00:00.000+00:00
1ciz,1999-04-06T00:00:00.000+00:00
1cj1,1999-04-21T00:00:00.000+00:00
1cka,1995-01-24T00:00:00.000+00:00
1ckb,1995-01-24T00:00:00.000+00:00
1clu,1999-05-03T00:00:00.000+00:00
1cnw,1995-07-21T00:00:00.000+00:00
1cnx,1995-07-21T00:00:00.000+00:00
1cny,1995-07-21T00:00:00.000+00:00
1cp6,1999-06-08T00:00:00.000+00:00
1cpi,1995-10-16T00:00:00.000+00:00
1cps,1992-02-18T00:00:00.000+00:00
1cqp,1999-08-10T00:00:00.000+00:00
1cr6,1999-08-13T00:00:00.000+00:00
1cs4,1999-08-16T00:00:00.000+00:00
1csh,1994-03-07T00:00:00.000+00:00
1csi,1994-03-07T00:00:00.000+00:00
1csr,1995-08-04T00:00:00.000+00:00
1css,1995-08-04T00:00:00.000+00:00
1ct8,1999-08-20T00:00:00.000+00:00
1ctr,1994-09-21T00:00:00.000+00:00
1ctt,1995-02-11T00:00:00.000+00:00
1ctu,1995-02-11T00:00:00.000+00:00
1cw2,1999-08-25T00:00:00.000+00:00
1cwb,1995-09-06T00:00:00.000+00:00
1cwc,1995-09-06T00:00:00.000+00:00
1cx9,1999-08-29T00:00:00.000+00:00
1cyn,1995-05-22T00:00:00.000+00:00
1czc,1999-09-02T00:00:00.000+00:00
1cze,1999-09-02T00:00:00.000+00:00
1czk,1999-09-03T00:00:00.000+00:00
1czl,1999-09-03T00:00:00.000+00:00
1czo,1999-09-03T00:00:00.000+00:00
1czq,1999-09-06T00:00:00.000+00:00
1czr,1999-09-07T00:00:00.000+00:00
1d04,1999-09-08T00:00:00.000+00:00
1d09,1999-09-09T00:00:00.000+00:00
1d1p,1999-09-20T00:00:00.000+00:00
1d2e,1999-09-23T00:00:00.000+00:00
1d2s,1999-09-28T00:00:00.000+00:00
1d3d,1999-09-29T00:00:00.000+00:00
1d3p,1999-09-30T00:00:00.000+00:00
1d3q,1999-09-30T00:00:00.000+00:00
1d3v,1999-10-01T00:00:00.000+00:00
1d4h,1999-10-04T00:00:00.000+00:00
1d4i,1999-10-04T00:00:00.000+00:00
1d4j,1999-10-04T00:00:00.000+00:00
1d4k,1999-10-04T00:00:00.000+00:00
1d4l,1999-10-04T00:00:00.000+00:00
1d4p,1999-10-04T00:00:00.000+00:00
1d4t,1999-10-06T00:00:00.000+00:00
1d4w,1999-10-06T00:00:00.000+00:00
1d4y,1999-10-06T00:00:00.000+00:00
1d5j,1999-10-07T00:00:00.000+00:00
1d5r,1999-10-11T00:00:00.000+00:00
1d6n,1999-10-14T00:00:00.000+00:00
1d6s,1999-10-15T00:00:00.000+00:00
1d6v,1999-10-15T00:00:00.000+00:00
1d6w,1999-10-15T00:00:00.000+00:00
1d7i,1999-10-18T00:00:00.000+00:00
1d7j,1999-10-18T00:00:00.000+00:00
1d7x,1999-10-20T00:00:00.000+00:00
1d8e,1999-10-22T00:00:00.000+00:00
1d8f,1999-10-22T00:00:00.000+00:00
1d8m,1999-10-25T00:00:00.000+00:00
1d9i,1999-10-27T00:00:00.000+00:00
1dar,1996-02-15T00:00:00.000+00:00
1db1,1999-11-02T00:00:00.000+00:00
1db4,1999-11-02T00:00:00.000+00:00
1db5,1999-11-02T00:00:00.000+00:00
1dbb,1992-11-11T00:00:00.000+00:00
1dbj,1993-08-24T00:00:00.000+00:00
1dbk,1993-08-24T00:00:00.000+00:00
1ddm,1999-11-11T00:00:00.000+00:00
1det,1996-02-20T00:00:00.000+00:00
1df8,1999-11-18T00:00:00.000+00:00
1dfo,1999-11-20T00:00:00.000+00:00
1dg9,1999-11-23T00:00:00.000+00:00
1dgm,1999-11-24T00:00:00.000+00:00
1dhi,1993-10-29T00:00:00.000+00:00
1dhj,1993-10-29T00:00:00.000+00:00
1di8,1999-11-29T00:00:00.000+00:00
1di9,1999-11-29T00:00:00.000+00:00
1dif,1995-10-09T00:00:00.000+00:00
1dis,1995-08-01T00:00:00.000+00:00
1dkd,1999-12-07T00:00:00.000+00:00
1dl7,1999-12-08T00:00:00.000+00:00
1dm2,1999-12-13T00:00:00.000+00:00
1dmb,1993-06-10T00:00:00.000+00:00
1dmp,1996-11-01T00:00:00.000+00:00
1doj,1999-12-21T00:00:00.000+00:00
1dpu,1999-12-27T00:00:00.000+00:00
1dqx,2000-01-05T00:00:00.000+00:00
1drj,1994-09-23T00:00:00.000+00:00
1drk,1994-09-23T00:00:00.000+00:00
1drv,1996-06-28T00:00:00.000+00:00
1dth,1996-02-12T00:00:00.000+00:00
1dtq,2000-01-13T00:00:00.000+00:00
1dtt,2000-01-13T00:00:00.000+00:00
1dub,1996-06-10T00:00:00.000+00:00
1dud,1996-04-30T00:00:00.000+00:00
1duv,2000-01-18T00:00:00.000+00:00
1dva,2000-01-20T00:00:00.000+00:00
1dwc,1992-08-19T00:00:00.000+00:00
1dwd,1992-08-19T00:00:00.000+00:00
1dx6,1999-12-21T00:00:00.000+00:00
1dxp,2000-01-13T00:00:00.000+00:00
1dy4,2000-01-26T00:00:00.000+00:00
1dzj,2000-03-01T00:00:00.000+00:00
1dzk,2000-03-01T00:00:00.000+00:00
1dzm,2000-03-03T00:00:00.000+00:00
1dzp,2000-03-06T00:00:00.000+00:00
1e00,2000-03-07T00:00:00.000+00:00
1e02,2000-03-09T00:00:00.000+00:00
1e03,2000-03-09T00:00:00.000+00:00
1e06,2000-03-10T00:00:00.000+00:00
1e1v,2000-05-11T00:00:00.000+00:00
1e1x,2000-05-11T00:00:00.000+00:00
1e1y,2000-05-11T00:00:00.000+00:00
1e2k,2000-05-23T00:00:00.000+00:00
1e2l,2000-05-23T00:00:00.000+00:00
1e34,2000-06-06T00:00:00.000+00:00
1e37,2000-06-06T00:00:00.000+00:00
1e3g,2000-06-14T00:00:00.000+00:00
1e3v,2000-06-24T00:00:00.000+00:00
1e4h,2000-07-04T00:00:00.000+00:00
1e55,2000-07-18T00:00:00.000+00:00
1e5a,2000-07-20T00:00:00.000+00:00
1e5j,2000-07-26T00:00:00.000+00:00
1e6q,2000-08-22T00:00:00.000+00:00
1e6s,2000-08-23T00:00:00.000+00:00
1e72,2000-08-23T00:00:00.000+00:00
1e8h,2000-09-20T00:00:00.000+00:00
1e9h,2000-10-16T00:00:00.000+00:00
1eas,1994-11-22T00:00:00.000+00:00
1eat,1994-11-22T00:00:00.000+00:00
1eb1,2001-07-18T00:00:00.000+00:00
1eb2,2001-07-18T00:00:00.000+00:00
1ebg,1994-04-27T00:00:00.000+00:00
1ebw,2000-01-25T00:00:00.000+00:00
1ebz,2000-01-25T00:00:00.000+00:00
1ec0,2000-01-25T00:00:00.000+00:00
1ec1,2000-01-25T00:00:00.000+00:00
1ec2,2000-01-25T00:00:00.000+00:00
1ec3,2000-01-25T00:00:00.000+00:00
1ec9,2000-01-25T00:00:00.000+00:00
1ecq,2000-01-25T00:00:00.000+00:00
1ecv,2000-01-26T00:00:00.000+00:00
1eed,1992-06-15T00:00:00.000+00:00
1eef,2000-01-31T00:00:00.000+00:00
1eei,2000-01-31T00:00:00.000+00:00
1efi,2000-02-08T00:00:00.000+00:00
1efy,2000-02-10T00:00:00.000+00:00
1egh,2000-02-15T00:00:00.000+00:00
1eix,2000-02-29T00:00:00.000+00:00
1ej4,2000-02-28T00:00:00.000+00:00
1ejn,2000-04-22T00:00:00.000+00:00
1ek1,2000-03-06T00:00:00.000+00:00
1ek2,2000-03-06T00:00:00.000+00:00
1ekb,1999-05-02T00:00:00.000+00:00
1ela,1993-12-07T00:00:00.000+00:00
1elb,1993-12-07T00:00:00.000+00:00
1elc,1993-12-07T00:00:00.000+00:00
1eld,1994-10-24T00:00:00.000+00:00
1ele,1994-10-24T00:00:00.000+00:00
1elr,2000-03-14T00:00:00.000+00:00
1els,1994-04-05T00:00:00.000+00:00
1em6,2000-03-16T00:00:00.000+00:00
1enu,2000-03-21T00:00:00.000+00:00
1eoc,2000-03-22T00:00:00.000+00:00
1eoj,2000-03-23T00:00:00.000+00:00
1eol,2000-03-23T00:00:00.000+00:00
1eou,2000-03-24T00:00:00.000+00:00
1epo,1994-07-27T00:00:00.000+00:00
1epp,1994-07-27T00:00:00.000+00:00
1erb,1993-10-01T00:00:00.000+00:00
1ero,2000-04-06T00:00:00.000+00:00
1erq,2000-04-06T00:00:00.000+00:00
1err,1997-09-08T00:00:00.000+00:00
1esz,2000-04-11T00:00:00.000+00:00
1ets,1992-07-06T00:00:00.000+00:00
1ett,1992-07-06T00:00:00.000+00:00
1etz,2000-04-13T00:00:00.000+00:00
1eub,2000-04-14T00:00:00.000+00:00
1eve,1998-03-04T00:00:00.000+00:00
1evh,1999-04-21T00:00:00.000+00:00
1ew8,2000-04-24T00:00:00.000+00:00
1ew9,2000-04-24T00:00:00.000+00:00
1ewj,2000-04-26T00:00:00.000+00:00
1ex8,2000-05-01T00:00:00.000+00:00
1exv,2000-05-04T00:00:00.000+00:00
1exw,2000-05-04T00:00:00.000+00:00
1ez9,2000-05-10T00:00:00.000+00:00
1ezf,2000-05-10T00:00:00.000+00:00
1ezq,2000-05-11T00:00:00.000+00:00
1f0q,2000-05-17T00:00:00.000+00:00
1f0r,2000-05-17T00:00:00.000+00:00
1f0s,2000-05-17T00:00:00.000+00:00
1f0t,2000-05-17T00:00:00.000+00:00
1f0u,2000-05-17T00:00:00.000+00:00
1f1j,2000-05-19T00:00:00.000+00:00
1f28,2000-05-23T00:00:00.000+00:00
1f2o,2000-05-28T00:00:00.000+00:00
1f2p,2000-05-28T00:00:00.000+00:00
1f3e,2000-06-02T00:00:00.000+00:00
1f3j,2000-06-04T00:00:00.000+00:00
1f40,2000-06-07T00:00:00.000+00:00
1f47,2000-06-07T00:00:00.000+00:00
1f4e,2000-06-07T00:00:00.000+00:00
1f4f,2000-06-07T00:00:00.000+00:00
1f4g,2000-06-07T00:00:00.000+00:00
1f4x,2000-06-10T00:00:00.000+00:00
1f4y,2000-06-10T00:00:00.000+00:00
1f57,2000-06-13T00:00:00.000+00:00
1f5k,2000-06-15T00:00:00.000+00:00
1f5l,2000-06-15T00:00:00.000+00:00
1f73,2000-06-25T00:00:00.000+00:00
1f74,2000-06-26T00:00:00.000+00:00
1f7b,2000-06-26T00:00:00.000+00:00
1f8a,2000-06-29T00:00:00.000+00:00
1f8e,2000-06-30T00:00:00.000+00:00
1f90,2000-07-06T00:00:00.000+00:00
1f92,2000-07-06T00:00:00.000+00:00
1f9e,2000-07-10T00:00:00.000+00:00
1f9g,2000-07-10T00:00:00.000+00:00
1fao,2000-07-13T00:00:00.000+00:00
1fax,1996-08-23T00:00:00.000+00:00
1fbm,2000-07-16T00:00:00.000+00:00
1fch,2000-07-18T00:00:00.000+00:00
1fcx,2000-07-19T00:00:00.000+00:00
1fcy,2000-07-19T00:00:00.000+00:00
1fcz,2000-07-19T00:00:00.000+00:00
1fd0,2000-07-19T00:00:00.000+00:00
1fd7,2000-07-19T00:00:00.000+00:00
1fdq,2000-07-20T00:00:00.000+00:00
1fe3,2000-07-20T00:00:00.000+00:00
1ff1,2000-07-24T00:00:00.000+00:00
1fgi,1997-03-22T00:00:00.000+00:00
1fh7,2000-07-31T00:00:00.000+00:00
1fh8,2000-07-31T00:00:00.000+00:00
1fh9,2000-07-31T00:00:00.000+00:00
1fhd,2000-07-31T00:00:00.000+00:00
1fhr,2000-08-02T00:00:00.000+00:00
1fig,1994-01-07T00:00:00.000+00:00
1fiv,1995-05-04T00:00:00.000+00:00
1fj4,2000-08-07T00:00:00.000+00:00
1fjs,2000-08-08T00:00:00.000+00:00
1fkb,1992-07-02T00:00:00.000+00:00
1fkf,1991-05-07T00:00:00.000+00:00
1fkg,1993-08-05T00:00:00.000+00:00
1fkh,1993-08-05T00:00:00.000+00:00
1fki,1993-08-05T00:00:00.000+00:00
1fkn,2000-08-09T00:00:00.000+00:00
1fkw,1996-02-29T00:00:00.000+00:00
1fl3,2000-08-11T00:00:00.000+00:00
1fl6,2000-08-11T00:00:00.000+00:00
1flm,1999-03-10T00:00:00.000+00:00
1flr,1995-01-19T00:00:00.000+00:00
1fls,2000-08-15T00:00:00.000+00:00
1fm9,2000-08-16T00:00:00.000+00:00
1fmb,1996-02-27T00:00:00.000+00:00
1fo0,2000-08-24T00:00:00.000+00:00
1fo2,2000-08-24T00:00:00.000+00:00
1fo3,2000-08-24T00:00:00.000+00:00
1fpc,1994-10-16T00:00:00.000+00:00
1fpi,1995-06-02T00:00:00.000+00:00
1fpp,1998-07-10T00:00:00.000+00:00
1fpy,2000-08-31T00:00:00.000+00:00
1fq4,2000-09-03T00:00:00.000+00:00
1fq5,2000-09-03T00:00:00.000+00:00
1fq6,2000-09-03T00:00:00.000+00:00
1fq7,2000-09-04T00:00:00.000+00:00
1fq8,2000-09-04T00:00:00.000+00:00
1fsg,2000-09-08T00:00:00.000+00:00
1fsw,2000-09-11T00:00:00.000+00:00
1fsy,2000-09-11T00:00:00.000+00:00
1ft4,2000-09-11T00:00:00.000+00:00
1ft7,2000-09-11T00:00:00.000+00:00
1fta,1993-09-27T00:00:00.000+00:00
1ftj,2000-09-12T00:00:00.000+00:00
1ftk,2000-09-12T00:00:00.000+00:00
1ftl,2000-09-12T00:00:00.000+00:00
1ftm,2000-09-12T00:00:00.000+00:00
1fv0,2000-09-18T00:00:00.000+00:00
1fv9,2000-09-19T00:00:00.000+00:00
1fvt,2000-09-20T00:00:00.000+00:00
1fvv,2000-09-20T00:00:00.000+00:00
1fw0,2000-09-20T00:00:00.000+00:00
1fwe,1997-04-23T00:00:00.000+00:00
1fwu,2000-09-24T00:00:00.000+00:00
